ダウンロード実行日,2014年01月26日現在,件数,10135件
ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード
"E00079","内国法人・組合","上場","有","2368"," 3月31日","徳倉建設株式会社","","トクラケンセツカブシキガイシャ","名古屋市中区錦三丁目１３番５号","建設業","18920"
"E00080","内国法人・組合","上場","有","18976"," 3月31日","東亜建設工業株式会社","TOA CORPORATION","トウアケンセツコウギョウカブシキガイシャ","新宿区西新宿三丁目７番１号","建設業","18850"
"E00081","内国法人・組合","上場","有","11374"," 3月31日","若築建設株式会社","WAKACHIKU CONSTRUCTION CO.,LTD.","ワカチクケンセツカブシキガイシャ","北九州市若松区浜町１－４－７","建設業","18880"
"E00082","内国法人・組合","上場","有","10683"," 3月31日","東洋建設株式会社","TOYO CONSTRUCTION CO.,LTD.","トウヨウケンセツカブシキガイシャ","大阪市中央区高麗橋４丁目１番１号","建設業","18900"
"E00083","内国法人・組合","上場","有","19838"," 3月31日","株式会社奥村組","OKUMURA CORPORATION","カブシキガイシャオクムラグミ","大阪市阿倍野区松崎町二丁目２番２号","建設業","18330"
"E00085","内国法人・組合","上場","有","12003"," 3月31日","三井住友建設株式会社","Sumitomo Mitsui Construction Co.,Ltd.","ミツイスミトモケンセツカブシキガイシャ","中央区佃二丁目１番６号","建設業","18210"
"E00086","内国法人・組合","上場","有","30449"," 3月31日","五洋建設株式会社","PENTA-OCEAN CONSTRUCTION CO.,LTD.","ゴヨウケンセツカブシキガイシャ","文京区後楽二丁目２番８号","建設業","18930"
"E00088","内国法人・組合","上場","有","8985"," 3月31日","安藤建設株式会社","ANDO Corporation","アンドウケンセツカブシキガイシャ","港区芝浦三丁目１２番８号","建設業",""
"E00090","内国法人・組合","上場","有","57500"," 3月31日","株式会社　長谷工コーポレーション","HASEKO Corporation","カブシキガイシャ　ハセコウコーポレーション","港区芝二丁目３２番１号","建設業","18080"
"E00091","内国法人・組合","上場","無","275"," 3月31日","中央ビルト工業株式会社","CHUO BUILD INDUSTRY CO.,LTD.","チュウオウビルトコウギョウカブシキガイシャ","中央区日本橋富沢町１１番１２号","金属製品","19710"
"E00092","内国法人・組合","上場","有","2881"," 3月31日","株式会社東京エネシス","TOKYO ENERGY & SYSTEMS INC.","カブシキガイシャトウキョウエネシス","中央区日本橋茅場町一丁目３番１号","建設業","19450"
"E00093","内国法人・組合","上場","有","5307"," 3月31日","大末建設株式会社","DAISUE CONSTRUCTION CO., LTD.","ダイスエケンセツカブシキガイシャ","大阪市中央区久太郎町二丁目５番２８号","建設業","18140"
"E00094","内国法人・組合","上場","有","6888"," 3月31日","株式会社協和エクシオ","KYOWA EXEO CORPORATION","カブシキガイシャキョウワエクシオ","渋谷区渋谷三丁目２９番２０号","建設業","19510"
"E00095","内国法人・組合","上場","有","5100"," 3月31日","大豊建設株式会社","DAIHO CORPORATION","ダイホウケンセツカブシキガイシャ","中央区新川一丁目２４番４号","建設業","18220"
"E00096","内国法人・組合","非上場","無","350"," 3月31日","真柄建設株式会社","MAGARA CONSTRUCTION CO., LTD.","マガラケンセツカブシキガイシャ","金沢市彦三町１丁目１３番４３号","建設業",""
"E00097","内国法人・組合","上場","有","5000"," 3月31日","株式会社不動テトラ","Fudo Tetra Corporation","カブシキガイシャフドウテトラ","中央区日本橋小網町７番２号","建設業","18130"
"E00098","内国法人・組合","上場","有","6119"," 3月31日","ライト工業株式会社","RAITO KOGYO CO., LTD.","ライトコウギョウカブシキガイシャ","千代田区五番町６番地２","建設業","19260"
"E00099","内国法人・組合","上場","有","635"," 3月31日","鈴縫工業株式会社","SUZUNUI CORPORATION","スズヌイコウギョウカブシキガイシャ","日立市城南町１丁目１１番３１号","建設業","18460"
"E00101","内国法人・組合","上場","無","310"," 3月31日","サンユー建設株式会社","SANYU CONSTRUCTION CO.,LTD.","サンユーケンセツカブシキガイシャ","大田区南雪谷２丁目１７番８号","建設業","18410"
"E00105","内国法人・組合","上場","有","5061"," 3月31日","株式会社ナカノフドー建設","NAKANO CORPORATION","カブシキガイシャナカノフドーケンセツ","千代田区九段北４丁目２番２８号","建設業","18270"
"E00106","内国法人・組合","非上場","有","3800"," 3月31日","株式会社東電通","","カブシキガイシャトウデンツウ","江東区豊洲５－６－３６","建設業",""
"E00107","内国法人・組合","上場","有","8105"," 3月31日","三機工業株式会社","SANKI ENGINEERING CO.,LTD.","サンキコウギョウカブシキガイシャ","中央区明石町８番１号","建設業","19610"
"E00109","内国法人・組合","上場","無","1980"," 3月31日","三晃金属工業株式会社","Sanko Metal Industrial Co., Ltd.","サンコウキンゾクコウギョウカブシキガイシャ","港区芝浦４丁目１３番２３号","建設業","19720"
"E00111","内国法人・組合","上場","有","1086"," 3月31日","大和小田急建設株式会社","Daiwa Odakyu Construction Co.,Ltd.","ダイワオダキュウケンセツカブシキガイシャ","新宿区西新宿４丁目３２番２２号","建設業","18340"
"E00112","内国法人・組合","上場","有","2810"," 3月31日","東鉄工業株式会社","TOTETSU KOGYO CO.,LTD.","トウテツコウギョウカブシキガイシャ","新宿区信濃町３４番地","建設業","18350"
"E00113","内国法人・組合","上場","有","4000"," 3月31日","太平電業株式会社","TAIHEI DENGYO KAISHA,LTD.","タイヘイデンギョウカブシキガイシャ","千代田区神田神保町二丁目４番地","建設業","19680"
"E00114","内国法人・組合","上場","有","6440"," 3月31日","住友電設株式会社","SUMITOMO DENSETSU CO.,LTD.","スミトモデンセツカブシキガイシャ","大阪市西区阿波座２丁目１番４号","建設業","19490"
